C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
60 |HD 245                             |SB*|00 08 50.8107662828 +86 47 16.383027890|     ~| 9.02 |     ~| 8.0  |     ~|G0             |  76|   0
61 |BD+85 1                            |*  |00 10 04.7954973853 +86 01 23.026874452|     ~| 9.97 | 9.42 |     ~|     ~|F8             |   6|   0
62 |BD+85 6                            |*  |00 26 03.6033765821 +86 02 06.017165194|     ~|11.38 | 9.71 |     ~|     ~|K3             |   0|   0
63 |BD+85 7                            |*  |00 29 47.3741909636 +86 00 07.054877681|     ~|10.60 | 9.50 |     ~|     ~|G8             |   0|   0
64 |BD+85 8                            |*  |00 35 16.9231891241 +86 06 30.726196919|     ~|10.30 | 9.87 |     ~|     ~|G0             |   0|   0
65 |HD 3103                            |*  |00 38 47.2260206129 +85 58 07.634488720|     ~| 8.53 | 8.29 |     ~|     ~|A2             |   2|   0
66 |BD+85 13                           |*  |00 42 23.3147605424 +86 15 50.633153378|     ~|10.10 | 9.76 |     ~|     ~|A2             |   0|   0
67 |BD+85 14                           |*  |00 44 22.5437648528 +85 55 07.764140933|     ~|10.43 | 9.72 |     ~|     ~|G5             |   0|   0
68 |BD+85 18                           |RG*|01 05 01.9674910861 +86 14 43.695894636|     ~|10.64 | 9.48 |     ~|     ~|G8             |   4|   0
69 |* 2 UMi                            |PM*|01 08 44.8800522 +86 15 25.523975      |     ~| 5.459| 4.225|     ~|     ~|K2III          |  81|   0
70 |BD+85 20                           |*  |01 08 20.7386941379 +85 47 51.892170685|     ~| 9.76 | 8.54 |     ~|     ~|K0             |   0|   0
71 |BD+85 25                           |RG*|01 24 05.5580447811 +85 55 17.367893409|     ~|10.88 | 9.71 |     ~|     ~|G8             |   4|   0
72 |BD+85 28                           |*  |01 39 48.9737069663 +86 06 20.559764373|     ~|10.72 | 9.99 |     ~|     ~|G2             |   2|   0
73 |BD+85 33                           |*  |01 53 29.4698196627 +85 56 09.963276215|     ~|10.92 | 9.75 |     ~|     ~|K2             |   0|   0
74 |BD+85 35                           |*  |01 57 59.3236342696 +86 04 05.107499193|     ~|10.56 | 9.51 |     ~|     ~|G8             |   0|   0
75 |BD+85 36                           |PM*|02 02 18.3784272448 +85 44 30.139339463|     ~| 9.72 | 9.17 |     ~|     ~|G0             |   4|   0
76 |HD 12648                           |PM*|02 18 59.6716886269 +85 44 10.173169680|     ~| 7.90 | 6.98 |     ~|     ~|G5             |  12|   0
77 |HD 15374                           |*  |02 46 34.2928206200 +85 47 57.431006036|     ~| 7.91 | 7.83 |     ~|     ~|A0             |   6|   0
78 |HD 1262                            |*  |00 18 39.1629420935 +85 11 15.393016090|     ~| 9.34 | 9.13 |     ~|     ~|A              |   1|   0
79 |BD+84 8                            |*  |00 34 29.6299901656 +85 02 43.534331882|     ~|10.526| 9.900|     ~|     ~|A5             |   3|   0
80 |BD+84 11                           |*  |00 42 03.2342358059 +85 20 49.447012650|13.057|11.4  | 9.89 |     ~|     ~|K5             |  14|   0
81 |BD+84 12                           |*  |00 42 43.4107840436 +85 14 14.131887771|10.061|10.05 | 9.55 |     ~|     ~|F5             |  23|   0
82 |HD 4710                            |*  |00 55 16.2504396999 +85 42 09.340765776|10.030| 9.150| 8.080|     ~|     ~|K0             |   7|   0
83 |HD 4816                            |*  |00 56 10.9882135337 +85 27 32.702510429| 8.534| 8.43 | 8.15 |     ~|     ~|A5             |   7|   0
84 |BD+84 16                           |*  |00 56 23.3611024605 +85 18 07.302000608|     ~| 9.69 | 8.72 |     ~|     ~|G5             |   5|   0
85 |BD+84 17                           |PM*|01 06 42.3127633645 +85 32 53.459882113|     ~|10.68 |10.00 |     ~|     ~|G5             |   1|   0
86 |HD 6771                            |*  |01 15 45.2914999474 +85 05 40.217034506|     ~| 9.30 | 8.97 |     ~|     ~|F5             |   1|   0
87 |BD+84 23                           |PM*|01 32 27.4670 +85 23 23.449            |     ~|10.22 | 9.32 |     ~|     ~|G5             |   0|   0
88 |BD+84 24                           |*  |01 33 10.2169193223 +85 30 07.865945820|     ~| 9.95 | 9.55 |     ~|     ~|F8             |   0|   0
89 |BD+84 25                           |*  |01 42 44.9974987481 +85 12 59.757224901|     ~|10.16 | 9.64 |     ~|     ~|F8             |   0|   0
90 |BD+84 28                           |*  |01 49 57.5401593504 +85 42 30.983668158|     ~|10.12 | 9.68 |     ~|     ~|F2             |   0|   0
91 |HD 10124                           |*  |01 49 53.7130102054 +85 12 55.961372338|     ~| 8.40 | 8.14 |     ~|     ~|A5             |   7|   1
92 |HD 10220                           |*  |01 50 38.6151507078 +85 03 30.530052034|     ~| 9.07 | 8.79 |     ~|     ~|A5             |   1|   0
93 |BD+84 31                           |*  |01 52 04.8131273394 +85 17 55.351477418|     ~|10.86 | 9.97 |     ~|     ~|K0             |   0|   0
94 |HD 10827                           |*  |01 57 33.1615905509 +85 08 46.357688089|     ~| 9.47 | 8.46 |     ~|     ~|G5             |   1|   0
95 |BD+84 543                          |*  |00 04 05.4476986512 +85 14 57.481929664|     ~|10.68 | 9.03 |     ~|     ~|K2             |   0|   0
96 |HD 174                             |*  |00 07 06.2832643838 +85 24 17.497329651|     ~| 8.47 | 8.19 |     ~|     ~|A3             |   7|   0
97 |V* RU Cep                          |LP*|01 21 11.8547120543 +85 07 55.671483597|     ~|10.38 | 8.59 |     ~|     ~|M0IIIv         |  22|   0
98 |HD 224991                          |*  |00 02 27.8313611790 +87 01 57.771382029|     ~| 8.14 | 7.84 |     ~|     ~|F0             |   1|   0
99 |BD+85 410                          |PM*|00 00 58.1293626806 +86 40 19.779092949|     ~|10.24 | 9.54 |     ~|     ~|G5             |   1|   0
100|BD+84 542                          |*  |00 01 27.2399237544 +85 20 10.815011620|     ~|10.35 | 9.74 |     ~|     ~|G5             |   3|   0
101|HD 4041                            |*  |00 47 24.8280037958 +85 03 00.030754251| 9.135| 8.98 | 8.84 |     ~|     ~|A2             |   9|   0
