C.D.S.  -  SIMBAD4 rel 1.7  -  2020.08.18CEST10:10:23

dec >= 40 & Bmag <= 7.5
-----------------------

Number of objects : 2740

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
72  |HD 11905                           |*  |01 57 56.3655897082 +41 41 40.422097670|     ~| 6.685| 6.755|     ~|     ~|B8II                 |  46 |   0
73  |HD 12751                           |*  |02 06 01.7265271534 +41 31 58.322865561|     ~| 7.17 | 6.86 |     ~|     ~|A5                   |  12 |   0
74  |HD 11780                           |*  |01 56 32.1796518492 +41 53 31.470915348|     ~| 6.94 | 6.97 |     ~|     ~|B9                   |   8 |   0
75  |HD 14622                           |PM*|02 22 50.3031582281 +41 23 46.654013873|     ~| 6.063| 5.795|     ~|     ~|F0III-IV             |  45 |   0
76  |HD 15683                           |*  |02 32 22.3092056907 +40 16 20.894082681|     ~| 6.87 | 6.83 |     ~|     ~|A0                   |   6 |   0
77  |V* V377 And                        |Al*|02 36 18.8926065348 +40 12 17.422403288|     ~| 7.46 | 7.51 |     ~|     ~|B9                   |  16 |   0
78  |HD 200077                          |SB*|20 59 55.2769487993 +40 15 31.757486509|     ~| 7.136| 6.593| 7.32 |     ~|F8                   |  64 |   0
79  |HD 201910                          |*  |21 11 21.9326498757 +41 11 06.575317070| 6.6  | 7.274| 7.394|     ~|     ~|B5V                  |  35 |   0
80  |HD 203096                          |*  |21 18 55.3294434972 +41 02 25.864362986| 6.620| 6.410| 6.150|     ~|     ~|A5IV                 |  24 |   0
81  |HD 203454                          |SB*|21 21 01.4184754518 +40 20 41.877764316|     ~| 6.93 |     ~| 6.1  |     ~|F8V                  | 144 |   0
82  |HD 202862                          |*  |21 17 23.1829246745 +42 41 00.856435633|     ~| 6.056| 6.159|     ~|     ~|B7V                  |  26 |   0
83  |HD 202720                          |*  |21 16 29.6188090645 +42 15 06.439818975| 8.770| 7.490| 6.210|     ~|     ~|K2                   |  13 |   0
84  |HD 205601                          |*  |21 35 08.6404622052 +43 42 11.873212493|     ~| 6.697| 6.802|     ~|     ~|B8                   |  10 |   0
85  |HD 205060                          |Be*|21 31 36.9124795946 +42 42 02.730714515|     ~| 7.183| 7.217|     ~|     ~|B5                   |  32 |   0
86  |* 75 Cyg                           |** |21 40 11.1079466463 +43 16 25.816084713|     ~| 6.682| 5.086|     ~|     ~|M1IIIab              |  59 |   0
87  |HD 206280                          |*  |21 39 53.9698772247 +44 25 55.701961985|     ~| 6.707| 6.750|     ~|     ~|B9                   |  18 |   0
88  |HD 205939                          |*  |21 37 27.8741866775 +44 41 47.572753551| 6.580| 6.400| 6.200|     ~|     ~|A7III                |  36 |   1
89  |HD 207218                          |*  |21 46 16.6042135307 +43 03 38.764252112| 6.990| 6.800| 6.530|     ~|     ~|G8III+A2II-III:      |  33 |   0
90  |HD 209932                          |*  |22 05 50.4496250472 +45 06 44.996802700|     ~| 6.458| 6.494|     ~|     ~|A0V                  |  44 |   0
91  |HD 209945                          |V* |22 06 01.9523621259 +45 00 51.639478870|     ~| 6.649| 5.070|     ~|     ~|K5III                |  48 |   0
92  |V* V1942 Cyg                       |a2*|22 02 56.66068 +44 38 59.5009          |     ~| 5.565| 5.596|     ~|     ~|A0IV                 |  95 |   1
93  |HD 209679                          |*  |22 04 06.7188063843 +44 20 42.412121175|     ~| 6.62 | 6.56 |     ~|     ~|A2                   |   9 |   0
94  |HD 210820                          |*  |22 12 01.8028795365 +47 05 44.261997222|     ~| 6.661| 6.686|     ~|     ~|A0                   |   9 |   0
95  |HD 211096                          |PM*|22 13 49.2404574083 +45 26 26.194835315| 5.530| 5.530| 5.530|     ~|     ~|A0III                |  29 |   0
96  |HD 211431                          |V* |22 16 00.9405806889 +45 05 20.829029732|     ~| 7.34 | 7.13 |     ~|     ~|A3                   |   3 |   0
97  |V* AR Lac                          |RS*|22 08 40.8180372773 +45 44 32.104045703| 7.09 | 6.83 | 6.11 |     ~|     ~|K0IVe+G5IV           | 696 |   0
98  |HD 209993                          |*  |22 06 12.2659215689 +45 14 55.268329187|     ~| 6.248| 6.181|     ~|     ~|A3V                  |  33 |   0
99  |HD 210387                          |*  |22 09 05.2416260476 +44 51 17.076663876| 6.48 | 6.731| 6.774|     ~|     ~|A0                   |  13 |   0
100 |V* V402 Lac                        |Al*|22 09 15.1996753795 +44 50 47.318893198| 6.44 | 6.695| 6.732|     ~|     ~|B9IV                 |  33 |   0
101 |* 2 Lac                            |SB*|22 21 01.5472649 +46 32 11.646085      | 3.95 | 4.431| 4.540|     ~|     ~|B6V                  | 116 |   0
102 |V* V414 Lac                        |a2*|22 33 37.5849969184 +46 33 54.929062294|     ~| 7.35 | 7.37 |     ~|     ~|B8pSi                |  24 |   0
103 |* 5 Lac                            |s*r|22 29 31.8225058 +47 42 24.792707      | 7.15 | 6.05 | 4.37 | 2.98 | 1.91 |K9Ia+B2V             | 129 |   0
104 |HD 216321                          |*  |22 51 13.3176970563 +48 43 59.656937312|     ~| 6.788| 6.872|     ~|     ~|B9                   |   7 |   0
105 |HD 218674                          |Be*|23 09 16.7464233962 +49 39 02.211070013| 6.17 | 6.700| 6.748|     ~|     ~|B4V(e)               |  86 |   0
106 |* 7 And                            |PM*|23 12 33.0037993 +49 24 22.345507      | 4.85 | 4.81 | 4.52 | 4.23 | 4.07 |F1V                  | 134 |   0
107 |* 8 And                            |V* |23 17 44.6457610150 +49 00 55.087878455| 8.50 | 6.53 | 4.86 | 3.40 | 2.14 |M2.5IIIBa0.5         | 100 |   0
108 |HD 219917                          |PM*|23 19 07.7176078240 +48 55 09.972213871|     ~| 7.50 | 7.23 |     ~|     ~|A2                   |   7 |   0
109 |* 11 And                           |PM*|23 19 29.8070096220 +48 37 31.161451208|     ~| 6.453| 5.440|     ~|     ~|K0III                |  59 |   0
110 |HD 219962                          |PM*|23 19 41.5552087866 +48 22 51.367470956|     ~| 7.44 |     ~| 5.6  |     ~|K1III                |  43 |   0
111 |* 5 And                            |PM*|23 07 45.3834054821 +49 17 44.789375207|     ~| 6.14 |     ~| 5.4  |     ~|F5V                  | 148 |   0
112 |NGC 7686                           |OpC|23 29 41.3 +49 10 12                   |     ~| 6.79 | 5.6  |     ~|     ~|~                    |  18 |   0
113 |* 18 And                           |*  |23 39 08.3319478648 +50 28 18.232835105|     ~| 5.24 | 5.35 |     ~|     ~|B9Ve                 |  50 |   0
114 |HD 222570                          |*  |23 41 26.7849691051 +49 30 44.696888069| 6.590| 6.430| 6.260|     ~|     ~|A4V                  |  18 |   0
115 |HD 221848                          |*  |23 35 19.1959038206 +50 18 42.381020052|     ~| 7.21 | 7.22 |     ~|     ~|B9                   |   3 |   0
116 |HD 224465                          |PM*|23 58 06.8133108304 +50 26 51.641943551|     ~| 7.30 |     ~| 6.3  |     ~|G4V                  |  58 |   0
117 |HD 224380                          |*  |23 57 22.0502002013 +48 16 51.646300198|     ~| 7.47 | 7.51 |     ~|     ~|A0                   |   5 |   0
118 |HD 849                             |*  |00 13 01.8005471731 +49 55 35.484824004|     ~| 7.37 | 7.18 |     ~|     ~|A2                   |  18 |   0
119 |HD 225124                          |*  |00 03 41.8443817512 +48 26 12.857387382|     ~| 6.85 | 6.78 |     ~|     ~|A2                   |   9 |   0
120 |HD 224870                          |*  |00 01 19.2511430543 +49 58 53.603747753|     ~| 7.185| 6.217|     ~|     ~|G7II-III             |  23 |   0
121 |HD 1279                            |*  |00 17 09.0437393806 +47 56 50.659653278| 5.36 | 5.764| 5.852|     ~|     ~|B8III                |  53 |   0
122 |HD 1561                            |*  |00 20 05.1662238780 +48 51 55.610695961| 6.600| 6.560| 6.530|     ~|     ~|A0Vs                 |  34 |   0
123 |HD 1601                            |*  |00 20 30.9284564576 +48 58 07.081189388| 7.230| 7.000| 6.470|     ~|     ~|G0                   |  17 |   0
124 |HD 883                             |*  |00 13 20.5373666732 +49 43 24.152404798|     ~| 7.35 | 7.31 |     ~|     ~|A0                   |   8 |   0
125 |HD 3574                            |*  |00 39 09.8934882394 +49 21 16.518933836|     ~| 7.072| 5.419|     ~|     ~|K5III                |  40 |   0
126 |HD 3264                            |SB*|00 36 15.4574126799 +48 33 20.741005110|     ~| 7.48 | 7.52 |     ~|     ~|B2V                  |  19 |   0
127 |HD 2301                            |*  |00 27 12.4468704103 +49 59 08.627959113|     ~| 6.93 | 6.96 |     ~|     ~|B9III                |  12 |   0
128 |* omi Cas                          |Be*|00 44 43.5186650 +48 17 03.713573      | 3.91 | 4.44 | 4.50 | 4.45 | 4.50 |B5IIIe               | 267 |   0
129 |HD 5083                            |*  |00 53 19.3799072940 +49 39 20.331666451|     ~| 7.08 | 7.10 |     ~|     ~|B8                   |   8 |   0
130 |* 68 Cas                           |*  |00 44 26.1908781086 +47 51 50.333752788|     ~| 5.520| 5.648|     ~|     ~|B5V                  | 100 |   0
131 |HD 4701                            |PM*|00 49 37.2093837318 +47 45 50.045549707|     ~| 6.92 | 6.65 |     ~|     ~|A2                   |  11 |   0
132 |HD 5638                            |SB*|00 58 43.0990575004 +47 02 11.663070859|     ~| 6.725| 6.819|     ~|     ~|A0                   |  20 |   0
133 |HD 5728                            |*  |00 59 32.2904712113 +48 57 58.820182690|     ~| 7.29 | 6.89 |     ~|     ~|F5                   |  21 |   0
134 |HD 5764                            |*  |00 59 59.6907336647 +48 01 11.833032477|     ~| 7.011| 7.116|     ~|     ~|B8                   |  14 |   0
135 |HD 7017                            |*  |01 11 14.9274943577 +46 37 47.374347181|     ~| 7.28 | 7.31 |     ~|     ~|B9                   |   5 |   0
136 |HD 6844                            |*  |01 09 51.8151169104 +49 03 13.885935043|     ~| 7.24 | 7.18 |     ~|     ~|A0                   |   6 |   0
137 |* phi And                          |Be*|01 09 30.12562 +47 14 30.4594          | 3.84 | 4.18 | 4.25 | 4.22 | 4.27 |B5IIIe               | 230 |   0
138 |* phi And A                        |*  |01 09 30.122064 +47 14 30.46772        |     ~| 4.54 | 4.294|     ~|     ~|~                    |   7 |   0
139 |* phi And B                        |*  |01 09 30.152592 +47 14 30.22678        |     ~| 5.55 | 5.62 |     ~|     ~|~                    |   1 |   0
140 |V* QV And                          |a2*|01 16 24.4904054794 +48 04 56.004528335| 6.23 | 6.559| 6.608|     ~|     ~|B9III                |  43 |   0
141 |HD 6226                            |Be*|01 03 53.3571865725 +47 38 32.262515795| 6.18 | 6.79 | 6.82 |     ~|     ~|~                    |  42 |   0
142 |* 49 And                           |*  |01 30 06.1015438480 +47 00 26.186042565|     ~| 6.261| 5.261|     ~|     ~|G9III                |  70 |   0
143 |V* GY And                          |a2*|01 38 31.8241484792 +45 23 58.950612500|     ~| 6.343| 6.380|     ~|     ~|A2:VpSiSrCrEu        | 239 |   0
144 |HD 9709                            |Be*|01 36 03.0825631925 +47 06 52.093398916| 6.590| 7.020| 7.070|     ~|     ~|B8V                  |  34 |   0
145 |HD 10086                           |PM*|01 39 36.0178939231 +45 52 39.986465984|     ~| 7.30 |     ~| 6.2  |     ~|G5V                  |  87 |   0
146 |HD 10874                           |PM*|01 47 48.0145107722 +46 13 47.096858364|     ~| 6.761| 6.317|     ~|     ~|F6V                  |  41 |   0
147 |HD 10486                           |PM*|01 43 16.5038377077 +45 19 21.539072698| 8.31 | 7.36 | 6.32 | 5.58 | 5.09 |K2IV                 |  57 |   0
148 |HD 13013                           |*  |02 08 33.5598720449 +44 27 33.944551700| 7.970| 7.340| 6.380|     ~|     ~|G8III-IV             |  21 |   0
149 |HD 14477                           |*  |02 21 35.65984 +44 35 59.9005          |     ~| 7.41 | 7.19 |     ~|     ~|A2                   |  10 |   1
